,Time(Î¼s)Trial,Selection,Heap,Insertion,Bubble,Merge,Counting,Bucket
1,9462538,27735,5285089,35580087,117404,3595,60864
2,9152097,27954,5296475,36228320,117240,3995,72410
3,9605283,27790,5399359,36694857,128049,3159,64700
4,9428043,28374,5512919,36818151,117266,3335,60034
5,9418404,28253,5322293,36425693,119160,2869,71105
6,9503048,29475,5304979,37100743,116588,3373,58450
7,9606645,28251,5279489,36975530,118531,3176,73321
8,10203808,28215,5421086,36476871,116306,3133,65201
9,9582098,28678,5549705,37486160,119640,3462,63360
10,9551507,29112,5581269,36264171,123933,3457,75580